what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708288345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359708290537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708290809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1359708290880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359708291013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708292805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359708297599
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359708307935
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359708308208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708312895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708655959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708657631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708710307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708714546
error,log,,,"Failed to load properties file for project 'HelloCompute'",1359708734267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708734364
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359708736476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708738766
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359708742506
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359708742549
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359708742566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708746212
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1359708746277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1359708746277
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359708750282
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359708750377
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359708754388
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1359708754667
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1359708754740
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359708757263
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359708757533
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359708758318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708759558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708760942
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1359708772262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708776864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708793931
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359708794795
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359708795052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708810250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359708828516
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359708829428
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1359708829741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359708833290
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1359708835783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1359708836321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1359708836459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1359708836834
