what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1360079135578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360079136836
error,log,,,"activity_main.xml: Failed to convert @drawable/MDSLogoForLoginTrans into a drawable",1360079137937
error,log,,,"activity_main.xml: Failed to convert @drawable/logoutButton into a drawable",1360079137941
error,log,,,"activity_main.xml: Failed to convert @drawable/home_background into a drawable",1360079137943
error,log,,,"activity_main.xml: Failed to convert @drawable/MDSLogoForLoginTrans into a drawable",1360079138363
error,log,,,"activity_main.xml: Failed to convert @drawable/logoutButton into a drawable",1360079138367
error,log,,,"activity_main.xml: Failed to convert @drawable/home_background into a drawable",1360079138368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360079148918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360079155116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1360079161203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360079163189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360079163428
error,log,,,"activity_main.xml: Failed to convert @drawable/MDSLogoForLoginTrans into a drawable",1360079164198
error,log,,,"activity_main.xml: Failed to convert @drawable/logoutButton into a drawable",1360079164202
error,log,,,"activity_main.xml: Failed to convert @drawable/home_background into a drawable",1360079164204
error,log,,,"activity_main.xml: Failed to convert @drawable/MDSLogoForLoginTrans into a drawable",1360079164679
error,log,,,"activity_main.xml: Failed to convert @drawable/logoutButton into a drawable",1360079164683
error,log,,,"activity_main.xml: Failed to convert @drawable/home_background into a drawable",1360079164685
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1360079173331
error,log,,,"activity_main.xml: Failed to convert @drawable/MDSLogoForLoginTrans into a drawable",1360079186767
error,log,,,"activity_main.xml: Failed to convert @drawable/logoutButton into a drawable",1360079186797
error,log,,,"activity_main.xml: Failed to convert @drawable/home_background into a drawable",1360079186812
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1360079189882
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1360079193531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1360079201667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360079202536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1360079204117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360079206226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360079206516
error,log,,,"activity_main.xml: Failed to convert @drawable/MDSLogoForLoginTrans into a drawable",1360079207051
error,log,,,"activity_main.xml: Failed to convert @drawable/logoutButton into a drawable",1360079207054
error,log,,,"activity_main.xml: Failed to convert @drawable/home_background into a drawable",1360079207058
error,log,,,"activity_main.xml: Failed to convert @drawable/gradientNews into a drawable",1360079207064
error,log,,,"activity_main.xml: Failed to convert @drawable/MDSLogoForLoginTrans into a drawable",1360079207590
error,log,,,"activity_main.xml: Failed to convert @drawable/logoutButton into a drawable",1360079207592
error,log,,,"activity_main.xml: Failed to convert @drawable/home_background into a drawable",1360079207595
error,log,,,"activity_main.xml: Failed to convert @drawable/gradientNews into a drawable",1360079207600
error,log,,,"activity_main.xml: Failed to convert @drawable/MDSLogoForLoginTrans into a drawable",1360079216739
error,log,,,"activity_main.xml: Failed to convert @drawable/logoutButton into a drawable",1360079216742
error,log,,,"activity_main.xml: Failed to convert @drawable/home_background into a drawable",1360079216746
error,log,,,"activity_main.xml: Failed to convert @drawable/gradientNews into a drawable",1360079216749
error,log,,,"activity_main.xml: Failed to convert @drawable/MDSLogoForLoginTrans into a drawable",1360079219171
error,log,,,"activity_main.xml: Failed to convert @drawable/logoutButton into a drawable",1360079219177
error,log,,,"activity_main.xml: Failed to convert @drawable/home_background into a drawable",1360079219182
error,log,,,"activity_main.xml: Failed to convert @drawable/gradientNews into a drawable",1360079219224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360079236994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360079439499
error,log,,,"activity_main.xml: Failed to convert @drawable/MDSLogoForLoginTrans into a drawable",1360079451071
error,log,,,"activity_main.xml: Failed to convert @drawable/logoutButton into a drawable",1360079451074
error,log,,,"activity_main.xml: Failed to convert @drawable/home_background into a drawable",1360079451078
error,log,,,"activity_main.xml: Failed to convert @drawable/gradientNews into a drawable",1360079451082
error,log,,,"activity_main.xml: Failed to convert @drawable/MDSLogoForLoginTrans into a drawable",1360079452901
error,log,,,"activity_main.xml: Failed to convert @drawable/logoutButton into a drawable",1360079452904
error,log,,,"activity_main.xml: Failed to convert @drawable/home_background into a drawable",1360079452909
error,log,,,"activity_main.xml: Failed to convert @drawable/gradientNews into a drawable",1360079452916
error,log,,,"activity_main.xml: Failed to convert @drawable/MDSLogoForLoginTrans into a drawable",1360079454828
error,log,,,"activity_main.xml: Failed to convert @drawable/logoutButton into a drawable",1360079454831
error,log,,,"activity_main.xml: Failed to convert @drawable/home_background into a drawable",1360079454835
error,log,,,"activity_main.xml: Failed to convert @drawable/gradientNews into a drawable",1360079454838
error,log,,,"activity_main.xml: Failed to convert @drawable/MDSLogoForLoginTrans into a drawable",1360079456495
error,log,,,"activity_main.xml: Failed to convert @drawable/logoutButton into a drawable",1360079456498
