what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359743935449
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359743936824
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359743937134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359743939561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359743940894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359743942143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359743942350
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359743945078
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1359743945356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359743946242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359743949986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1359743950784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359743950995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359743951326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359743952708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359743955150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359743955972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359743956488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359743959280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1359743959734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359743960045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359743961408
error,log,,,"Failed to execute ResourceManager.IResouceListener.fileChanged()",1359743961562
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1359743964305
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1359743965593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359743967672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359743967971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359743974649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359743977505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359743989787
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1359743992355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359743998310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359743998941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359744074368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359744078317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359744079464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359744081757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359744082106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359744085793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359744157744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359744161054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359744162133
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1359744162246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359744166194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359744167440
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359744168630
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359744174298
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359744174380
