what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359710143050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359710146246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359710151810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710152188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710274287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359710277920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359710279012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359710279570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710279922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710353133
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359710354013
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1359710354872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359710356822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359710357650
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1359710359231
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1359710359730
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1359710360958
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1359710361180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359710362025
error,log,,,"Failed to execute ResourceManager.IResouceListener.fileChanged()",1359710362131
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1359710365742
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1359710368168
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1359710368380
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1359710368768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359710369538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710385781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710393731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359710399638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710400449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710571700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359710573334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1359710574847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359710578702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710580098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710582731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359710584804
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359710585070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710586651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710588000
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1359710589835
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359710592171
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359710595724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710597609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359710599083
