what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1359306219086
activated,perspective,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.Perspective",1359306219118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359306220821
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.DeviceView",1359306230600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359306230699
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1359306238354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1359306238361
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1359306238361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359306244253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359306263116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1359306263229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359306263768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359306563722
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1359306565421
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1359306567537
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1359306567545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359306571763
error,log,,,"",1359306585582
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: MT-List Open",1359306585744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359306585989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1359306586169
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359306588064
